net,sid,layer,kind,width_um,cuts,i_avg,i_rms,i_peak,imax_avg,ratio_avg,ratio_rms,ratio_peak,worst,worst_kind,tier,x1,y1,x2,y2
VSS,52,Metal1,metal,0.5,0,8.0737e-06,8.0737e-06,8.0737e-06,2.6989e-04,0.0299,0.0,0.0,0.0299,avg,ok,36.835,2.435,36.835,-1.13
VSS,1,Metal1,metal,0.5,0,8.0737e-06,8.0737e-06,8.0737e-06,2.6989e-04,0.0299,0.0,0.0,0.0299,avg,ok,4.84,-0.065,4.84,-1.13
VSS,3,Metal1,metal,0.5,0,8.0737e-06,8.0737e-06,8.0737e-06,2.6989e-04,0.0299,0.0,0.0,0.0299,avg,ok,14.14,-0.065,14.14,-1.13
VSS,5,Metal1,metal,0.5,0,8.0737e-06,8.0737e-06,8.0737e-06,2.6989e-04,0.0299,0.0,0.0,0.0299,avg,ok,23.44,-0.065,23.44,-1.13
VREG,25,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,25.59,9.782,25.59,9.565
VREG,92,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,50.315,3.0,50.315,3.35
VREG,56,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,26.44,5.0,26.44,5.35
VREG,41,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,44.19,9.782,44.19,9.565
VREG,19,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,16.29,9.782,16.29,9.565
VREG,33,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,34.89,9.782,34.89,9.565
VREG,23,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,16.29,2.309,16.29,4.617
VREG,6,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,49.465,2.417,49.465,4.835
VREG,45,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,44.19,2.309,44.19,4.617
VREG,17,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,6.99,2.309,6.99,4.617
VREG,31,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,25.59,2.309,25.59,4.617
VREG,39,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,34.89,2.309,34.89,4.617
VREG,1,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,49.465,5.582,49.465,5.165
VREG,52,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,17.14,5.0,17.14,5.35
VREG,60,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,35.74,5.0,35.74,5.35
VREG,64,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,45.04,5.0,45.04,5.35
VREG,48,Metal1,metal,0.3,0,4.7072e-06,4.7072e-06,4.7072e-06,1.6193e-04,0.0291,0.0,0.0,0.0291,avg,ok,7.84,5.0,7.84,5.35
VSS,23,Metal1,metal,2.02,0,3.1350e-05,3.1350e-05,3.1350e-05,1.0903e-03,0.0288,0.0,0.0,0.0288,avg,ok,4.75,-2.14,6.5,-2.14
VSS,10,Metal1,metal,3.0,0,4.4911e-05,4.4911e-05,4.4911e-05,1.6193e-03,0.0277,0.0,0.0,0.0277,avg,ok,34.0,-2.14,32.745,-1.13
VSS,18,Metal1,metal,2.02,0,2.9284e-05,2.9284e-05,2.9284e-05,1.0903e-03,0.0269,0.0,0.0,0.0269,avg,ok,1.5,-2.14,0.0,-2.14
VSS,14,Metal1,metal,3.5,0,4.9869e-05,4.9869e-05,4.9869e-05,1.8892e-03,0.0264,0.0,0.0,0.0264,avg,ok,43.75,-2.14,42.145,-1.13
VSS,66,Metal2,metal,2.0,0,5.6541e-05,5.6541e-05,5.6541e-05,2.1591e-03,0.0262,0.0,0.0,0.0262,avg,ok,11.25,-2.15,9.5,-2.15
VSS,65,Metal2,metal,2.0,0,5.6541e-05,5.6541e-05,5.6541e-05,2.1591e-03,0.0262,0.0,0.0,0.0262,avg,ok,8.0,-2.15,9.5,-2.15
VREG,87,Metal1,metal,2.0,0,2.8243e-05,2.8243e-05,2.8243e-05,1.0795e-03,0.0262,0.0,0.0,0.0262,avg,ok,51.0,11.7,50.315,11.45
VSS,22,Metal1,metal,2.02,0,2.7659e-05,2.7659e-05,2.7659e-05,1.0903e-03,0.0254,0.0,0.0,0.0254,avg,ok,4.75,-2.14,3.0,-2.14
VREG,129,Metal2,metal,0.5,0,1.1827e-05,1.1827e-05,1.1827e-05,5.3977e-04,0.0219,0.0,0.0,0.0219,avg,ok,16.25,11.7,16.5,11.7
VREG,134,Metal2,metal,0.5,0,1.1827e-05,1.1827e-05,1.1827e-05,5.3977e-04,0.0219,0.0,0.0,0.0219,avg,ok,16.29,10.475,16.52,11.45
VREG,130,Metal2,metal,0.5,0,1.1827e-05,1.1827e-05,1.1827e-05,5.3977e-04,0.0219,0.0,0.0,0.0219,avg,ok,16.57,11.7,16.5,11.7
VSS,96,Via1,via,0.0,24,1.1279e-04,1.1279e-04,1.1279e-04,5.1818e-03,0.0218,0.0,0.0,0.0218,avg,ok,50.015,-2.35,50.015,-2.35
VREG,106,Metal2,metal,0.1,0,2.1578e-06,2.1578e-06,2.1578e-06,1.0795e-04,0.02,0.0,0.0,0.02,avg,ok,49.948,4.95,49.63,4.95
VREG,105,Metal2,metal,0.1,0,2.1578e-06,2.1578e-06,2.1578e-06,1.0795e-04,0.02,0.0,0.0,0.02,avg,ok,49.565,4.918,49.63,4.95
VREG,96,Metal2,metal,0.83,0,1.7550e-05,1.7550e-05,1.7550e-05,8.9603e-04,0.0196,0.0,0.0,0.0196,avg,ok,49.915,5.05,49.565,5.1
VSS,17,Metal1,metal,2.02,0,2.1210e-05,2.1210e-05,2.1210e-05,1.0903e-03,0.0195,0.0,0.0,0.0195,avg,ok,-0.35,-2.14,0.0,-2.14
