net,sid,layer,kind,width_um,cuts,i_avg,i_rms,i_peak,imax_avg,ratio_avg,ratio_rms,ratio_peak,worst,worst_kind,tier,x1,y1,x2,y2
VREG,31,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,25.59,2.309,25.59,4.617
VREG,92,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,50.315,3.0,50.315,3.35
VREG,56,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,26.44,5.0,26.44,5.35
VREG,48,Metal1,metal,0.3,0,4.6121e-06,4.6121e-06,4.6121e-06,1.6193e-04,0.0285,0.0,0.0,0.0285,avg,ok,7.84,5.0,7.84,5.35
VREG,150,Metal2,metal,0.1,0,2.1142e-06,2.1142e-06,2.1142e-06,1.0795e-04,0.0196,0.0,0.0,0.0196,avg,ok,49.948,4.95,49.63,4.95
VREG,149,Metal2,metal,0.1,0,2.1142e-06,2.1142e-06,2.1142e-06,1.0795e-04,0.0196,0.0,0.0,0.0196,avg,ok,49.565,4.918,49.63,4.95
VREG,140,Metal2,metal,0.83,0,1.7195e-05,1.7195e-05,1.7195e-05,8.9603e-04,0.0192,0.0,0.0,0.0192,avg,ok,49.915,5.05,49.565,5.1
VREG,155,Metal2,metal,0.1,0,1.6935e-06,1.6935e-06,1.6935e-06,1.0795e-04,0.0157,0.0,0.0,0.0157,avg,ok,49.4,5.05,49.5,5.05
VREG,156,Metal2,metal,0.1,0,1.6935e-06,1.6935e-06,1.6935e-06,1.0795e-04,0.0157,0.0,0.0,0.0157,avg,ok,49.915,5.05,49.5,5.05
VREG,9,Metal1,metal,0.14,0,1.0412e-06,1.0412e-06,1.0412e-06,7.5568e-05,0.0138,0.0,0.0,0.0138,avg,ok,6.99,9.782,7.07,9.565
VREG,152,Metal2,metal,0.83,0,1.1282e-05,1.1282e-05,1.1282e-05,8.9603e-04,0.0126,0.0,0.0,0.0126,avg,ok,49.915,5.05,49.565,5.0
VREG,54,Metal1,metal,4.5,0,1.8448e-05,1.8448e-05,1.8448e-05,2.4290e-03,0.0076,0.0,0.0,0.0076,avg,ok,18.75,11.7,17.14,11.53
VREG,62,Metal1,metal,4.5,0,1.8448e-05,1.8448e-05,1.8448e-05,2.4290e-03,0.0076,0.0,0.0,0.0076,avg,ok,37.25,11.7,35.74,11.53
VREG,50,Metal1,metal,4.75,0,1.8448e-05,1.8448e-05,1.8448e-05,2.5639e-03,0.0072,0.0,0.0,0.0072,avg,ok,9.375,11.7,7.84,11.53
VREG,58,Metal1,metal,4.75,0,1.8448e-05,1.8448e-05,1.8448e-05,2.5639e-03,0.0072,0.0,0.0,0.0072,avg,ok,27.875,11.7,26.44,11.53
VSS,12,Metal1,metal,7.5286,0,2.6297e-05,2.6297e-05,2.6297e-05,4.0637e-03,0.0065,0.0,0.0,0.0065,avg,ok,48.236,-1.3,47.035,-1.13
VSS,10,Metal1,metal,7.5286,0,2.6297e-05,2.6297e-05,2.6297e-05,4.0637e-03,0.0065,0.0,0.0,0.0065,avg,ok,40.707,-1.3,41.94,-1.13
VSS,2,Metal1,metal,7.5286,0,2.6297e-05,2.6297e-05,2.6297e-05,4.0637e-03,0.0065,0.0,0.0,0.0065,avg,ok,3.064,-1.3,4.74,-1.13
VSS,4,Metal1,metal,7.5286,0,2.6297e-05,2.6297e-05,2.6297e-05,4.0637e-03,0.0065,0.0,0.0,0.0065,avg,ok,10.593,-1.3,14.04,-1.13
VSS,6,Metal1,metal,7.5286,0,2.6297e-05,2.6297e-05,2.6297e-05,4.0637e-03,0.0065,0.0,0.0,0.0065,avg,ok,25.65,-1.3,23.34,-1.13
VSS,15,Metal1,metal,7.5286,0,2.6297e-05,2.6297e-05,2.6297e-05,4.0637e-03,0.0065,0.0,0.0,0.0065,avg,ok,3.064,-1.3,-0.265,-1.13
VSS,19,Metal1,metal,7.5286,0,2.6297e-05,2.6297e-05,2.6297e-05,4.0637e-03,0.0065,0.0,0.0,0.0065,avg,ok,10.593,-1.3,9.035,-1.13
VSS,23,Metal1,metal,7.5286,0,2.6297e-05,2.6297e-05,2.6297e-05,4.0637e-03,0.0065,0.0,0.0,0.0065,avg,ok,18.121,-1.3,18.335,-1.13
VSS,8,Metal1,metal,7.5286,0,2.6297e-05,2.6297e-05,2.6297e-05,4.0637e-03,0.0065,0.0,0.0,0.0065,avg,ok,33.179,-1.3,32.64,-1.13
VSS,27,Metal1,metal,7.5286,0,2.6297e-05,2.6297e-05,2.6297e-05,4.0637e-03,0.0065,0.0,0.0,0.0065,avg,ok,25.65,-1.3,27.635,-1.13
VREG,66,Metal1,metal,6.0,0,1.8448e-05,1.8448e-05,1.8448e-05,3.2386e-03,0.0057,0.0,0.0,0.0057,avg,ok,47.0,11.7,45.04,11.53
VREG,154,Metal2,metal,0.635,0,2.1142e-06,2.1142e-06,2.1142e-06,6.8551e-04,0.0031,0.0,0.0,0.0031,avg,ok,49.915,5.05,49.948,5.0
VREG,153,Metal2,metal,0.635,0,2.1142e-06,2.1142e-06,2.1142e-06,6.8551e-04,0.0031,0.0,0.0,0.0031,avg,ok,49.948,4.95,49.948,5.0
